"projectID";"topic";"title"
"804639";"ERC-2018-STG";"ERC Starting Grant"
"802205";"ERC-2018-STG";"ERC Starting Grant"
"805230";"ERC-2018-STG";"ERC Starting Grant"
"803908";"ERC-2018-STG";"ERC Starting Grant"
"802414";"ERC-2018-STG";"ERC Starting Grant"
"804273";"ERC-2018-STG";"ERC Starting Grant"
"802967";"ERC-2018-STG";"ERC Starting Grant"
"804352";"ERC-2018-STG";"ERC Starting Grant"
"802441";"ERC-2018-STG";"ERC Starting Grant"
"804744";"ERC-2018-STG";"ERC Starting Grant"
"802769";"ERC-2018-STG";"ERC Starting Grant"
"804418";"ERC-2018-STG";"ERC Starting Grant"
"802554";"ERC-2018-STG";"ERC Starting Grant"
"803421";"ERC-2018-STG";"ERC Starting Grant"
"802567";"ERC-2018-STG";"ERC Starting Grant"
"804259";"ERC-2018-STG";"ERC Starting Grant"
"801809";"ERC-2018-STG";"ERC Starting Grant"
"804106";"ERC-2018-STG";"ERC Starting Grant"
"804024";"ERC-2018-STG";"ERC Starting Grant"
"801872";"ERC-2018-STG";"ERC Starting Grant"
"804989";"ERC-2018-STG";"ERC Starting Grant"
"804110";"ERC-2018-STG";"ERC Starting Grant"
"802940";"ERC-2018-STG";"ERC Starting Grant"
"802989";"ERC-2018-STG";"ERC Starting Grant"
"804981";"ERC-2018-STG";"ERC Starting Grant"
"805411";"ERC-2018-STG";"ERC Starting Grant"
"801660";"ERC-2018-STG";"ERC Starting Grant"
"804307";"ERC-2018-STG";"ERC Starting Grant"
"801572";"ERC-2018-STG";"ERC Starting Grant"
"802817";"ERC-2018-STG";"ERC Starting Grant"
"805094";"ERC-2018-STG";"ERC Starting Grant"
"804933";"ERC-2018-STG";"ERC Starting Grant"
"805017";"ERC-2018-STG";"ERC Starting Grant"
"803880";"ERC-2018-STG";"ERC Starting Grant"
"802362";"ERC-2018-STG";"ERC Starting Grant"
"802568";"ERC-2018-STG";"ERC Starting Grant"
"803498";"ERC-2018-STG";"ERC Starting Grant"
"802800";"ERC-2018-STG";"ERC Starting Grant"
